ID,Point Code,Measure,PSI Value
,SWAPRK 42,2,N/A
,SWAPRK 42,3,N/A
,SWAPRK 42,4,N/A
,SWAPRK 42,5,N/A
,SWAPRK 50,1,N/A
,SWAPRK 50,2,N/A
,SWAPRK 50,3,N/A
,SWAPRK 50,4,N/A
,SWAPRK 50,5,N/A
,SWAPRK 51,1,N/A
,SWAPRK 51,2,N/A
,SWAPRK 51,3,N/A
,SWAPRK 51,4,N/A
,SWAPRK 51,5,N/A
,SWAPRK 58,1,N/A
,SWAPRK 60,4,N/A
,SWAPRK 67,5,N/A
,SWAPRK 7,1,N/A
,SWAPRK 7,2,N/A
,SWAPRK 7,3,N/A
,SWAPRK 7,4,N/A
,SWAPRK 7,5,N/A
,SWAPRK 75,2,N/A
,SWAPRK 76,3,N/A
,SWAPRK 77,4,N/A
,SWAPRK 78,5,N/A
,SWAPRK 8,1,N/A
,SWAPRK 8,2,N/A
,SWAPRK 8,3,N/A
,SWAPRK 8,4,N/A
,SWAPRK 8,5,N/A
,SWAPRK 83,1,N/A
,SWAPRK 83,2,N/A
,SWAPRK 83,3,N/A
,SWAPRK 83,4,N/A
,SWAPRK 83,5,N/A
,SWAPRK 84,1,N/A
,SWAPRK 84,2,N/A
,SWAPRK 84,3,N/A
,SWAPRK 84,4,N/A
,SWAPRK 84,5,N/A
,SWAPRK 85,2,N/A
,SWAPRK 86,1,N/A
,SWAPRK 9,1,N/A
,SWAPRK 9,2,N/A
,SWAPRK 9,3,N/A
,SWAPRK 9,4,N/A
,SWAPRK 9,5,N/A
