FID,Parcel_cla,site,pointnum,Latitude,Longitude,mspa,landform,formcode,patchid,groveid,ROCKAGE,ROCKTYPE1,ROCKTYPE2,DistEdge,Aspect,MUSYM,SoilArea,DEM10,CanopyHt,Schumaker_Avg,Penetrometer
480,Private,FF,7,39.346729,-76.544966,17,ridge,3,785,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,74.886581,278.036896,18B,39223.24335,80.496925,22.059998,0.666666667,250
481,Private,FF,9,39.346353,-76.544938,17,ridge,3,785,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,100.319489,164.990112,18B,39223.24335,79.89801,26.204994,1.055555556,200
482,Private,FRIENDS,1,39.355497,-76.630081,35,valley,9,,628,Late Precambrian (?) - Early Paleozoic,gabbro,norite,6.324555,240.822495,10,57017.83715,97.403358,3.815384,0.1875,250
483,Private,FRIENDS,10,39.35753,-76.628756,0,slope,6,,,Late Precambrian (?),mica schist,gneiss,0,202.479355,21E,24554.14784,104.738319,5.244286,1.833333333,260
484,Private,FRIENDS,11,39.357533,-76.627436,33,slope,6,,,Late Precambrian (?),mica schist,gneiss,12.165525,164.00177,22UC,156629.3431,109.729019,9.803909,2.4,300
485,Private,FRIENDS,12,39.357545,-76.626988,33,hollow,7,,,Late Precambrian (?),mica schist,gneiss,14.56022,167.549194,22UC,156629.3431,109.906487,19.679993,0.692307692,290
486,Private,FRIENDS,13,39.357528,-76.626528,33,slope,6,,,Late Precambrian (?),mica schist,gneiss,19.697716,204.476196,22UC,156629.3431,110.4916,8.349144,1.05,290
487,Private,FRIENDS,14,39.357524,-76.626101,33,slope,6,,,Late Precambrian (?),mica schist,gneiss,16,212.600052,22UC,156629.3431,112.752533,10.290001,1.214285714,300
488,Private,FRIENDS,15,39.357522,-76.62565,33,slope,6,,,Late Precambrian (?),mica schist,gneiss,16,216.406815,22UC,156629.3431,116.138474,4.048332,0.866666667,300
489,Private,FRIENDS,16,39.35754,-76.625203,33,slope,6,,,Late Precambrian (?),mica schist,gneiss,26,208.146118,22UC,156629.3431,118.97126,24.069992,0.384615385,270
490,Private,FRIENDS,17,39.357531,-76.624764,35,spur,5,,573,Late Precambrian (?),mica schist,gneiss,43.68066,187.758972,22UC,156629.3431,120.806664,28.483337,0.931034483,85
491,City,FRIENDS,2,39.355812,-76.630093,0,valley,9,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,0,88.598289,10,57017.83715,97.482788,7.647141,0.25,75
492,Private,FRIENDS,3,39.356151,-76.63009,0,valley,9,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,0,75.937195,10,57017.83715,97.149826,4.262001,0.642857143,100
493,Private,FRIENDS,4,39.3565,-76.630099,0,valley,9,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,0,101.566147,10,57017.83715,97.399773,10.579994,1.933333333,200
494,Private,FRIENDS,5,39.356489,-76.630528,33,valley,9,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,2,102.167526,22UB,28975.23268,99.546066,5.032944,0.72,220
495,Private,FRIENDS,6,39.356842,-76.630545,35,valley,9,,578,Late Precambrian (?) - Early Paleozoic,gabbro,norite,40.496914,166.601776,22UB,28975.23268,102.094604,4.753334,1,120
496,Private,FRIENDS,7,39.356836,-76.630094,0,valley,9,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,0,96.444176,10,57017.83715,98.545914,5.894615,1.388888889,100
497,Institution,FRIENDS,8,39.357172,-76.630543,33,slope,6,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,16,78.868195,39B,84864.49067,102.965088,25.206001,0.541666667,240
498,Institution,FRIENDS,9,39.357183,-76.630108,0,hollow,7,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,0,88.886971,10,57017.83715,99.399452,6.400002,1,0
499,Institution,G,1,39.352636,-76.610726,35,ridge,3,,700,Cretaceous,gravel,sand,22.36068,160.621384,22UB,114376.8153,109.419807,10.010002,2.25,230
500,Private,G,2,39.352635,-76.610319,35,ridge,3,,698,Cretaceous,gravel,sand,19.697716,172.875412,22UB,114376.8153,109.833603,16.725594,0.466666667,180
501,Private,G,3,39.352638,-76.609922,3,spur,5,,698,Cretaceous,gravel,sand,10,99.066292,22UB,114376.8153,109.054314,6.529999,0.3,50
502,Private,GILMAN,1,39.357326,-76.629019,33,hollow,7,,,Late Precambrian (?),mica schist,gneiss,28.071337,210.401321,39B,57714.46067,101.768799,21.087494,1.413793103,300
503,Institution,GILMAN,10,39.360302,-76.629503,17,valley,9,453,,Late Precambrian (?),mica schist,gneiss,60,239.353378,6B,37072.14187,106.236,21.397499,0.740740741,280
504,Institution,GILMAN,11,39.359934,-76.630448,0,hollow,7,,,Late Precambrian (?),mica schist,gneiss,0,132.385971,6B,19571.23635,105.913673,8.26313,0.307692308,280
505,Institution,GILMAN,12,39.359927,-76.629974,3,valley,9,,507,Late Precambrian (?),mica schist,gneiss,8.246211,149.828842,10,57017.83715,103.864449,26.016754,0.666666667,160
506,Institution,GILMAN,13,39.359926,-76.629497,33,valley,9,,,Late Precambrian (?),mica schist,gneiss,8.944272,242.120453,6B,37072.14187,104.861443,9.369995,3.222222222,195
507,Institution,GILMAN,14,39.359558,-76.630449,1,valley,9,,,Late Precambrian (?),mica schist,gneiss,8.944272,87.933052,39B,84864.49067,102.813721,6.522522,1.642857143,70
508,Institution,GILMAN,15,39.359555,-76.629987,33,valley,9,,,Late Precambrian (?),mica schist,gneiss,26.907248,203.025848,10,57017.83715,102.694054,10.75,1.846153846,85
509,Institution,GILMAN,16,39.359189,-76.630466,33,depression,10,,,Late Precambrian (?),mica schist,gneiss,23.323807,84.091339,10,57017.83715,102.650024,26.709999,0.823529412,220
510,Institution,GILMAN,17,39.35882,-76.630455,33,valley,9,,,Late Precambrian (?),mica schist,gneiss,4.472136,86.402283,10,57017.83715,102.303085,2.189102,0.538461538,220
511,Institution,GILMAN,18,39.358443,-76.630463,33,valley,9,,,Late Precambrian (?),mica schist,gneiss,7.211102,82.296547,39B,84864.49067,102.563423,14.353333,2,220
512,Institution,GILMAN,19,39.358083,-76.630453,0,valley,9,,,Late Precambrian (?),mica schist,gneiss,0,80.976234,39B,84864.49067,102.220612,10.841805,1.666666667,205
513,Institution,GILMAN,2,39.3577,-76.629011,35,slope,6,,551,Late Precambrian (?),mica schist,gneiss,42.755116,208.545975,21E,24554.14784,103.998352,4.859993,0.933333333,300
514,Institution,GILMAN,20,39.358067,-76.629989,33,valley,9,,,Late Precambrian (?),mica schist,gneiss,11.661903,227.76944,10,57017.83715,100.354988,11.262001,0.9,290
515,Institution,GILMAN,21,39.357704,-76.629983,0,valley,9,,,Late Precambrian (?),mica schist,gneiss,0,180.78241,10,57017.83715,99.48819,18.091995,1.75,170
516,Institution,GILMAN,22,39.35733,-76.629982,33,valley,9,,,Late Precambrian (?),mica schist,gneiss,16.124516,112.609543,10,57017.83715,98.737312,12.642174,1.142857143,280
517,Institution,GILMAN,23,39.361041,-76.629986,1,valley,9,,,Precambrian,granitic gneiss,amphibolite,8.944272,224.522507,10,57017.83715,106.539505,18.225006,0.25,260
518,Institution,GILMAN,24,39.361049,-76.630452,35,hollow,7,453,,Precambrian,granitic gneiss,amphibolite,34,100.239189,6B,19571.23635,111.522125,31.32,1,300
519,Institution,GILMAN,3,39.358075,-76.629014,35,spur,5,,551,Late Precambrian (?),mica schist,gneiss,40,211.380539,21E,24554.14784,110.772812,29.111435,1.15,50
520,Institution,GILMAN,4,39.358439,-76.629019,33,ridge,3,,,Late Precambrian (?),mica schist,gneiss,15.231546,228.999451,21E,24554.14784,115.895958,20.814995,0.259259259,90
521,Institution,GILMAN,5,39.358817,-76.629008,3,spur,5,,527,Late Precambrian (?),mica schist,gneiss,14,281.76004,21E,24554.14784,116.514,24.860001,0.227272727,300
522,Institution,GILMAN,6,39.359183,-76.629025,35,spur,5,,527,Late Precambrian (?),mica schist,gneiss,34,300.722015,21E,24554.14784,113.345512,15.920006,1.035714286,0
523,Institution,GILMAN,7,39.36067,-76.63046,17,slope,6,453,,Late Precambrian (?),mica schist,gneiss,50.635956,64.043716,6B,19571.23635,110.715439,24.335007,0.266666667,0
524,Institution,GILMAN,8,39.360671,-76.629973,3,valley,9,453,,Late Precambrian (?),mica schist,gneiss,44.721359,68.257484,10,57017.83715,106.983597,6.821449,0.52173913,0
525,Institution,GILMAN,9,39.3603,-76.629973,17,valley,9,453,,Late Precambrian (?),mica schist,gneiss,58.137768,81.301079,10,57017.83715,107.288948,29.699997,0.842105263,0
526,Private,GS,1,39.35881,-76.586104,1,slope,6,,,Cretaceous,gravel,sand,8.485281,8.051764,29UC,336208.4591,104.577309,10.785004,1.125,239
527,Institution,GS,10,39.356828,-76.584096,35,ridge,3,,581,Cretaceous,gravel,sand,14.56022,22.034546,41E,18853.2156,108.523026,6.604996,2.75,310
528,Institution,GS,12,39.356536,-76.584146,35,ridge,3,,581,Cretaceous,gravel,sand,22,102.55024,41E,18853.2156,109.313118,6.450584,0.357142857,210
529,Institution,GS,13,39.356504,-76.583766,33,ridge,3,,,Cretaceous,gravel,sand,15.231546,144.125519,41E,18853.2156,106.182434,5.053337,3.090909091,70
530,Institution,GS,14,39.356355,-76.585338,1,spur,5,,,Cretaceous,gravel,sand,2,158.824158,13E,47739.08037,106.809433,13.219994,1.307692308,342
531,Institution,GS,15,39.356319,-76.58495,3,spur,5,602,,Cretaceous,gravel,sand,42.801868,188.289352,13E,47739.08037,105.746529,6.189568,0.3125,120
532,Institution,GS,16,39.356281,-76.584569,0,ridge,3,,,Cretaceous,gravel,sand,0,176.841522,41E,18853.2156,107.215172,6.689453,0.1875,257
533,Institution,GS,17,39.356242,-76.584188,17,spur,5,602,,Cretaceous,gravel,sand,59.363289,137.909103,41E,18853.2156,103.47982,5.029999,1.615384615,214
534,Institution,GS,18,39.356212,-76.583812,35,spur,5,602,,Cretaceous,gravel,sand,46.518814,162.020355,41E,18853.2156,100.423943,6.953873,2.235294118,383
535,Institution,GS,19,39.356064,-76.585373,17,spur,5,602,,Cretaceous,gravel,sand,82.219215,133.174194,13E,47739.08037,103.242729,18.209999,1.363636364,0
536,Private,GS,2,39.35878,-76.585715,1,slope,6,,,Cretaceous,gravel,sand,10,13.238709,29UC,336208.4591,103.659523,8.480003,0.631578947,0
537,Institution,GS,20,39.356019,-76.584992,17,slope,6,602,,Cretaceous,gravel,sand,111.946419,178.140472,13E,47739.08037,101.606079,10.47831,1.133333333,0
538,Institution,GS,21,39.355978,-76.584615,3,slope,6,602,,Cretaceous,gravel,sand,46.173584,167.456863,41E,18853.2156,101.417061,11.909996,1.470588235,0
539,Institution,GS,22,39.355764,-76.585423,17,slope,6,602,,Cretaceous,gravel,sand,64,174.975571,13E,47739.08037,97.704147,19.813339,0.19047619,0
540,Institution,GS,23,39.355731,-76.585042,17,slope,6,602,,Cretaceous,gravel,sand,48,141.123001,13E,47739.08037,97.645653,17.643333,1.04,0
541,Institution,GS,24,39.357574,-76.582454,0,slope,6,,,Cretaceous,gravel,sand,0,43.630241,45UB,57463.65075,90.944183,6.665604,0,0
542,Institution,GS,25,39.357265,-76.582492,0,slope,6,,,Cretaceous,gravel,sand,0,42.949799,45UB,57463.65075,92.854889,10.603661,0.428571429,0
543,Institution,GS,26,39.356974,-76.582539,9,slope,6,,,Cretaceous,gravel,sand,4,40.224373,13B,9904.580412,94.625458,16.103333,0.5625,0
544,Institution,GS,27,39.356685,-76.582581,9,spur,5,,,Cretaceous,gravel,sand,7.211102,56.579372,13B,9904.580412,95.662071,14.045006,0.157894737,0
545,Institution,GS,28,39.356605,-76.587994,3,spur,5,,583,Cretaceous,gravel,sand,4.472136,229.969666,29UC,336208.4591,104.294174,5.227768,1.272727273,0
546,Private,GS,29,39.357617,-76.589369,3,slope,6,,564,Cretaceous,gravel,sand,6,194.866013,29UC,336208.4591,101.823204,10.988945,1.285714286,0
547,Institution,GS,3,39.35841,-76.585012,1,slope,6,,,Cretaceous,gravel,sand,28.284271,32.579369,29UC,336208.4591,103.560616,3.952583,0.666666667,0
548,Private,GS,30,39.357588,-76.588993,35,slope,6,,564,Cretaceous,gravel,sand,22,173.843719,13E,47739.08037,102.061295,10.536667,1.611111111,0
549,Private,GS,31,39.357888,-76.588952,1,slope,6,,,Cretaceous,gravel,sand,14.142136,172.72113,13UB,29744.11792,105.437309,17.260002,0.588235294,0
550,Institution,GS,4,39.358369,-76.584623,0,slope,6,,,Cretaceous,gravel,sand,0,34.21629,29UC,336208.4591,101.534782,3.968163,2.470588235,0
551,Institution,GS,5,39.358079,-76.584666,3,spur,5,,549,Cretaceous,gravel,sand,34.928497,34.44574,29UC,336208.4591,104.057335,9.406517,1.055555556,0
552,Institution,GS,6,39.357749,-76.584338,35,slope,6,,549,Cretaceous,gravel,sand,34.928497,54.18187,29UC,336208.4591,103.224747,7.68,0.363636364,0
553,Institution,GS,7,39.357455,-76.584381,33,slope,6,,,Cretaceous,gravel,sand,16.970562,77.383789,41E,18853.2156,104.318855,15.059998,1.111111111,0
554,Institution,GS,8,39.357161,-76.584431,35,slope,6,,581,Cretaceous,gravel,sand,33.286633,40.389065,41E,18853.2156,105.597542,12.830002,1.642857143,0
555,Institution,GS,9,39.356866,-76.584473,35,ridge,3,,581,Cretaceous,gravel,sand,11.313708,2.574073,41E,18853.2156,110.460709,6.172859,0.47826087,0
556,City,HEPP,1,39.365652,-76.565341,17,spur,5,258,,Cretaceous,gravel,sand,50.039986,160.162689,25B,32222.26832,92.033821,20.475006,0.166666667,240
557,City,HEPP,10,39.365004,-76.565473,17,slope,6,258,,Cretaceous,gravel,sand,76.026314,175.417221,25B,32222.26832,88.586525,18.141525,0.37037037,180
558,City,HEPP,11,39.365048,-76.565891,17,slope,6,258,,Cretaceous,gravel,sand,104,187.052338,25B,32222.26832,88.660255,16.624771,0.157894737,230
559,City,HEPP,12,39.365136,-76.566317,17,slope,6,258,,Cretaceous,gravel,sand,107.424393,206.344162,25B,32222.26832,88.2211,11.824257,0,210
560,City,HEPP,13,39.365168,-76.566728,17,slope,6,258,,Cretaceous,gravel,sand,48.373547,220.314789,25B,32222.26832,87.603294,21.073746,0.1,200
561,City,HEPP,2,39.365706,-76.565738,17,slope,6,258,,Cretaceous,gravel,sand,69.31089,200.241211,25B,32222.26832,91.870422,22.783333,0.125,200
562,City,HEPP,3,39.365757,-76.56617,17,slope,6,258,,Paleozoic,quartz monzonite, ,68,213.012222,25B,32222.26832,91.021217,19.170006,0,270
563,City,HEPP,4,39.365814,-76.566589,17,slope,6,258,,Paleozoic,quartz monzonite, ,60.166435,221.27919,25B,32222.26832,89.907784,17.357147,0.555555556,220
564,City,HEPP,5,39.365276,-76.564987,17,slope,6,258,,Cretaceous,gravel,sand,84.970581,164.411499,25UB,112478.1583,90.140793,8.666534,0.173913043,200
565,City,HEPP,6,39.365331,-76.565398,17,slope,6,258,,Cretaceous,gravel,sand,162.825058,174.123474,25B,32222.26832,90.481628,20.849998,0.222222222,200
566,City,HEPP,7,39.365366,-76.565798,17,slope,6,258,,Cretaceous,gravel,sand,185.396866,199.30072,25B,32222.26832,90.42617,23.363266,0.263157895,180
567,City,HEPP,8,39.365462,-76.566238,17,slope,6,258,,Cretaceous,gravel,sand,174.928558,208.179825,25B,32222.26832,89.760376,23.7575,0,220
568,City,HEPP,9,39.365492,-76.566669,17,slope,6,258,,Paleozoic,quartz monzonite, ,70.682388,214.545593,25B,32222.26832,89.071434,23.428001,0.130434783,230
569,Private,HR,1,39.367619,-76.689245,3,slope,6,90,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,24,177.036743,12UB,55440.44397,132.587357,18.14949,1.12,121
570,Private,HR,10,39.367855,-76.68809,17,flat,1,90,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,108.240471,178.544312,18UB,184923.457,133.25975,28.413345,1.481481481,113
571,Private,HR,11,39.368154,-76.68807,17,flat,1,90,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,174,127.592537,18UB,184923.457,133.495239,21.454971,1.260869565,96
572,Private,HR,12,39.368137,-76.687689,17,flat,1,90,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,66,311.815613,26UB,235547.1809,133.562637,9.088562,1.1,98
573,Private,HR,13,39.368448,-76.688048,17,flat,1,90,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,128.015625,25.725172,26UB,235547.1809,133.391022,28.233337,1.9,141
574,Private,HR,14,39.368428,-76.68767,17,flat,1,90,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,99.035347,1.681652,26UB,235547.1809,133.209,26.657501,1.222222222,320
575,Private,HR,15,39.368695,-76.687266,17,shoulder,4,90,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,80.919716,6.228297,26UB,235547.1809,132.698608,19.736679,1.333333333,150
576,Private,HR,16,39.368719,-76.687646,17,flat,1,90,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,162.788208,8.422367,26UB,235547.1809,132.754639,11.077499,1.526315789,329.8
577,Private,HR,17,39.368738,-76.688025,17,flat,1,90,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,98.081596,45.909771,26UB,235547.1809,132.933243,11.433334,3.176470588,158
578,City,HR,18,39.369042,-76.688382,3,flat,1,90,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,2,46.644615,26UB,235547.1809,133.276352,5.227493,1.117647059,150
579,Private,HR,19,39.369029,-76.688012,17,flat,1,90,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,101.390335,56.410198,26UB,235547.1809,132.723541,9.672729,1.5,145
580,Private,HR,2,39.367907,-76.689229,3,shoulder,4,90,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,13.416408,147.760666,12UB,55440.44397,133.199036,28.352493,1.133333333,130
581,Private,HR,20,39.369017,-76.687624,17,flat,1,90,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,80.919716,31.200581,26UB,235547.1809,132.37146,4.767014,1.25,120
582,Private,HR,3,39.367893,-76.688847,17,flat,1,90,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,122.016396,176.086288,12UB,55440.44397,133.271317,30.33667,2.928571429,117
583,Private,HR,4,39.367598,-76.688864,17,slope,6,90,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,118,176.210022,12UB,55440.44397,132.803848,23.910004,1.434782609,327
584,City,HR,5,39.367311,-76.688891,3,slope,6,90,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,14.142136,178.490707,12UB,55440.44397,131.613754,14.547775,0,87
585,Private,HR,6,39.367286,-76.688514,35,slope,6,90,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,2.828427,186.353882,18UB,184923.457,131.962112,13.371109,0.875,85
586,Private,HR,7,39.367583,-76.68849,17,flat,1,90,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,110,165.673843,18UB,184923.457,132.640457,28.793991,2.461538462,265
587,Private,HR,8,39.367874,-76.688468,17,flat,1,90,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,175.931808,161.757111,18UB,184923.457,133.230225,33.113327,1.851851852,0
588,City,HR,9,39.367565,-76.688111,3,flat,1,90,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,26.076809,191.248688,18UB,184923.457,132.761276,27.050003,0.227272727,0
