ID,Point Code,Layer Number,Starting Depth (mm),Ending Depth (mm),Hue,Texture,Value,Chroma
,VillageSq,1,,,10YR,Loam,3,3
,VillageSq,2,,,10YR,Silty clay loam,3,1
,VillageSq,2,,,5Y,Silty clay loam,4,4
,VillageSq,1,,,10YR,Loam,3,6
,VillageSq,2,,,10YR,Loamy sand,3,2
,VillageSq,1,,,5Y,Loamy sand,3,6
,VillageSq,1,,,10YR,Silty clay,3,2
,VillageSq,1,,,10YR,Silty clay loam,3,2
,VillageSq,1,,,5YR,Clay loam,3,2
,VillageSq,2,,,7.5YR,Loamy sand,3,2
,VillageSq,2,,,2.5 Y,Loamy sand,3,2
,VillageSq,1,,,10YR,Loam,3,2
,VillageSq,1,,,10YR,Loamy sand,3,2
,VillageSq,1,,,5Y,Loamy sand,3,1
,VillageSq,1,,,10YR,Clay loam,3,2
,VillageSq,1,,,10YR,Sandy clay,3,1
,VillageSq,1,,,5Y,Sandy loam,3,3
,VillageSq,1,,,7.5YR,Silty clay loam,3,1
,VillageSq,1,,,5Y,Sandy loam,3,2
,VillageSq,1,,,7.5YR,Silt loam,3,2
,VillageSq,1,,,10YR,Silty clay,4,2
,VillageSq,2,,,7.5YR,Silty clay loam,3,3
,VillageSq,1,,,2.5Y,Silty clay loam,4,2
,VillageSq,2,,,2.5Y,Silty clay,4,2
,VillageSq,1,,,2.5Y,Silt loam,3,3
,VillageSq,1,,,2.5Y,Clay,4,4
,VillageSq,1,,,5Y,Silty clay loam,4,2
,VillageSq,1,,,10YR,Silty clay,3,1
,VillageSq,1,,,5Y,Silty clay loam,3,2
,VillageSq,2,,,2.5Y,Sandy clay loam,3,1
,VillageSq,1,,,2.5Y,Silty clay,3,2
,VillageSq,1,,,5Y,Sandy clay,3,1
,VillageSq,2,,,2.5Y,Sandy clay loam,4,3
,VillageSq,1,,,10YR,Sandy clay loam,3,3
,ToddAve,1,,,10YR,Silty clay,3,2
,ToddAve,1,,,10YR,Silty clay,3,2
,ToddAve,1,,,10YR,Sandy loam,3,2
,ToddAve,1,,,10YR,Sandy loam,3,2
,ToddAve,2,,,10YR,Sandy loam,3,2
,ToddAve,2,,,10YR,Sandy clay,3,2
,ToddAve,1,,,10YR,Sandy loam,2,2
,ToddAve,1,,,10YR,Silty clay loam,2,2
,ToddAve,3,,,10YR,Clay,4,3
