ID,Point Code,Stem,Species Code,Schumaker,Schumaker (A)
708,AH 6,10,ACRU,0,0
709,AH 7,1,QUPA2,0,0
710,AH 7,2,QUPA2,0,0
711,AH 7,3,QUPA2,0,0
712,AH 7,4,QUPA2,0,0
713,AH 7,5,QUPA2,3,0
714,AH 7,6,LITU,0,0
715,AH 7,7,LITU,2,0
716,AH 7,8,LITU,3,0
717,AH 7,9,ACRU,0,0
718,AH 7,10,LIBE3,0,0
719,AH 7,11,ULRU,0,0
720,AH 8,1,QUMI,3,0
721,AH 8,2,Dead,5,0
722,AH 8,3,QUPA2,1,0
723,AH 8,4,QUPA2,3,0
724,AH 8,5,QUPA2,3,0
725,AH 8,6,ACRU,0,0
726,AH 8,7,ACRU,0,0
727,AH 8,8,ACRU,0,0
728,AH 8,9,VIPR,0,0
729,AH 8,10,LITU,0,0
730,AH 8,11,LITU,0,0
731,AH 8,12,LITU,3,0
732,AH 8,13,NYSY,0,0
733,AH 8,14,NYSY,2,0
734,AH 9,1,ACRU,0,0
735,AH 9,2,ACRU,0,0
736,AH 9,3,ACRU,0,0
737,AH 9,4,ACRU,0,0
738,AH 9,5,ACRU,0,0
739,AH 9,6,QUPA2,0,0
740,AH 9,7,QUPA2,0,0
741,AH 9,8,QUPA2,2,0
742,AH 9,9,QUPA2,3,0
743,AH 9,10,CACA18,0,0
744,AH 9,11,FRPE,0,0
745,AH 9,12,FRPE,0,0
746,AH 9,13,FRPE,0,0
747,AH 9,14,FRPE,3,0
748,AH 9,15,Dead,0,0
749,AH 9,16,LITU,2,0
2836,BEL 1,1,Dead,1,0
2837,BEL 1,2,Dead,4,0
2838,BEL 1,3,ULAM,2,1
2839,BEL 1,4,ACPL,3,0
2840,BEL 1,5,ACPL,2,0
2841,BEL 1,6,ACPL,2,0
2842,BEL 1,7,LITU,1,0
2843,BEL 1,8,LITU,2,0
2844,BEL 1,9,PRSE2,2,0
2845,BEL 2,1,QUAL,3,0
2846,BEL 2,2,SAAL5,3,0
2847,BEL 2,3,ACPL,4,0
2848,BEL 2,4,ACPL,0,0
2849,BEL 2,5,ACPL,5,0
2850,BEL 2,6,Dead,2,1
2851,BEL 2,7,Dead,2,0
2852,BEL 2,8,Dead,2,0
2853,BEL 2,9,Dead,4,0
2854,BEL 2,10,Dead,5,0
2855,BEL 2,11,PRSE2,2,0
2856,BEL 2,12,ACNE2,5,0
2712,FF 1,1,CAGL8,0,0
2713,FF 1,2,QUAL,2,1
2714,FF 1,3,ACPL,0,0
2715,FF 1,4,NYSY,0,0
2716,FF 1,5,NYSY,1,0
2717,FF 1,6,NYSY,3,0
2718,FF 1,7,QUVE,1,0
2719,FF 1,8,LITU,0,0
2720,FF 1,9,ACNE2,2,0
2792,FF 11,1,LITU,3,1
2793,FF 11,2,LITU,2,0
2794,FF 11,3,LITU,3,0
2795,FF 11,4,LITU,0,0
2796,FF 11,5,PRAV,4,0
2797,FF 11,6,QUAL,1,0
2798,FF 11,7,QUAL,3,0
2799,FF 11,8,QUAL,2,0
2800,FF 11,9,NYSY,3,0
2801,FF 11,10,QUMO4,0,0
2802,FF 11,11,ACPL,4,0
2803,FF 11,12,ACPL,4,0
2804,FF 11,13,ILOP,2,1
2805,FF 11,14,MORU2,4,0
2806,FF 11,15,ACNE2,1,0
2807,FF 12,1,QUAL,1,0
2808,FF 12,2,QUAL,4,0
2809,FF 12,3,QUAL,2,0
2810,FF 12,4,LIST2,2,0
2811,FF 12,5,LITU,0,0
2812,FF 12,6,LITU,1,0
2813,FF 12,7,PRSE2,3,0
2814,FF 12,8,CACO15,0,0
2815,FF 12,9,COFL2,1,0
2816,FF 13,1,ACPL,1,0
2817,FF 13,2,ACPL,1,0
2818,FF 13,3,QUAL,0,0
2819,FF 13,4,QUAL,2,0
2820,FF 13,5,QUAL,0,0
2821,FF 13,6,Dead,5,0
2822,FF 13,7,MOAL,4,0
2823,FF 13,8,ACNE2,1,0
2824,FF 14,1,ACPL,4,0
2825,FF 14,2,ACPL,4,0
2826,FF 14,3,QUAL,2,0
2827,FF 14,4,ROPS,3,0
2828,FF 14,5,ROPS,3,0
2829,FF 14,6,ROPS,3,0
2830,FF 14,7,ROPS,3,0
2831,FF 14,8,ROPS,4,0
2832,FF 14,9,ROPS,4,0
2833,FF 14,10,ROPS,3,0
2834,FF 14,11,MORU2,4,0
2835,FF 14,12,Dead,5,0
2721,FF 2,1,Dead,4,0
2722,FF 2,2,QUAL,2,0
2723,FF 2,3,QUAL,1,0
2724,FF 2,4,LITU,1,0
2725,FF 2,5,LITU,0,0
2726,FF 2,6,QUMO4,1,0
2727,FF 2,7,MOAL,5,0
2728,FF 2,8,MOAL,4,0
2729,FF 2,9,ACRU,1,0
2730,FF 2,10,PRSE2,4,0
2731,FF 3,1,QUMO4,1,0
2732,FF 3,2,QUMO4,0,0
2733,FF 3,3,QUMO4,1,0
2734,FF 3,4,SAAL5,0,0
2735,FF 3,5,QUAL,0,0
2736,FF 3,6,QUAL,2,0
2737,FF 3,7,QUAL,2,0
2738,FF 3,8,QUAL,1,0
2739,FF 3,9,CAGL8,0,0
2740,FF 3,10,Dead,0,0
2741,FF 4,1,LITU,3,0
2742,FF 4,2,LITU,0,0
2743,FF 4,3,LITU,2,0
2744,FF 4,4,LITU,1,0
2745,FF 4,5,LITU,2,0
2746,FF 4,6,LITU,0,0
2747,FF 4,7,CAGL8,2,0
2748,FF 4,8,FAGR,1,0
2749,FF 4,9,QUAL,4,1
2750,FF 4,10,QUAL,2,0
2751,FF 4,11,QUMO4,2,0
2752,FF 4,12,NYSY,1,0
2753,FF 5,1,SAAL5,1,0
2754,FF 5,2,Dead,2,0
2755,FF 5,3,Dead,0,0
2756,FF 5,4,LITU,0,0
