"109","1","100","10 YR","Loamy Sand","15","1","WG 3","4.0"
"110","1","200","10 YR","Sandy Loam","0","2","WG 4","2.0"
"111","1","9999999","7.5 YR","Silty Clay","9999999","2","AH 1","2.5"
"112","1","9999999","10 YR","Silty Clay","9999999","2","AH 4","4.0"
"113","1","9999999","10 YR","Silty Clay","9999999","1","AH 7","3.0"
"114","1","9999999","10 YR","Silty Clay","9999999","2","AH 8","3.0"
"115","1","9999999","10 YR","Silty Clay","9999999","2","AH 12","2.0"
"116","1","9999999","10 YR","Silty Clay","9999999","4","AH 14","3.0"
"117","1","9999999","10 YR","Silty Clay","9999999","2","HR 1","2.0"
"118","1","9999999","10 YR","Silty Clay Loam","9999999","6","HR 2","3.0"
"119","1","9999999","10 YR","Silty Clay Loam","9999999","6","HR 3","3.0"
"120","1","9999999","10 YR","Silty Clay Loam","9999999","3","HR 4","3.0"
"121","1","9999999","10 YR","Silty Clay","9999999","3","HR 5","2.0"
"122","1","9999999","10 YR","Silty Clay","9999999","3","HR 6","2.0"
"123","1","9999999","10 YR","Silty Clay Loam","9999999","2","HR 7","3.0"
"124","1","9999999","10 YR","Silty Clay Loam","9999999","3","HR 8","3.0"
"125","1","9999999","10 YR","Silty Clay","9999999","3","HR 9","2.0"
"126","1","9999999","10 YR","Silty Clay Loam","9999999","2","HR 10","3.0"
"127","1","9999999","10 YR","Silty Clay Loam","9999999","2","HR 11","2.0"
"128","1","9999999","10 YR","Silty Loam","9999999","3","HR 12","3.0"
"129","1","9999999","10 YR","Silty Loam","9999999","3","HR 14","3.0"
"130","1","9999999","10 YR","Silty Clay Loam","9999999","2","HR 16","2.0"
"131","1","9999999","10 YR","Clay Loam","9999999","3","HR 17","3.0"
"132","1","9999999","10 YR","Silty Loam","9999999","3","HR 18","3.0"
"133","1","9999999","7.5 YR","Silty Clay Loam","9999999","4","HR 19","3.0"
"134","1","9999999","7.5 YR","Sandy Clay","9999999","3","HR 20","3.0"
"135","1","9999999","10 YR","Sandy Clay Loam","9999999","3","ND 1","3.0"
"136","1","9999999","10 YR","Sand","9999999","1","ND 4","2.0"
"138","1","9999999","10 YR","Sandy Clay Loam","9999999","1","ND 7","3.0"
"1","1","9999999","7.5 YR","Clay Loam","9999999","2","SGDW 2","3.0"
"2","2","9999999","7.5 YR","Clay Loam","9999999","1","SGDW 2","3.0"
"3","3","9999999","7.5 YR","Silty Clay Loam","9999999","1","SGDW 2","4.0"
"4","1","9999999","7.5 YR","Silty Clay","9999999","2","SGDW 1","3.0"
"5","2","9999999","7.5 YR","Silty Clay","9999999","2","SGDW 1","4.0"
"6","3","9999999","5 YR","Sandy Clay","9999999","4","SGDW 1","4.0"
"7","1","43","7.5 YR","Silty Clay Loam","2","1","SGDW 5","3.0"
"8","2","85","10 YR","Silty Clay Loam","43","2","SGDW 5","3.0"
"9","3","200","7.5 YR","Silty Clay","85","4","SGDW 5","4.0"
"10","1","124","10 YR","Silty Clay Loam","2","3","SGDW 7","3.0"
"11","2","200","5 YR","Silty Clay Loam","124","6","SGDW 7","4.0"
"12","1","75","7.5 YR","Silty Clay Loam","6","2","SGDW 6","3.0"
"13","2","124","7.5 YR","Silty Clay Loam","75","3","SGDW 6","4.0"
"14","3","200","7.5 YR","Silty Clay","124","6","SGDW 6","6.0"
"15","1","73","10 YR","Silty Clay Loam","0","2","SGDW 4","3.0"
"16","2","160","10 YR ","Silty Clay","73","4","SGDW 4","5.0"
"17","1","40","10 YR","Silty Clay Loam","0","2","SGDW 3","3.0"
"18","2","200","10 YR","Silty Clay","40","6","SGDW 3","5.0"
"19","1","103","10 YR","Silty Clay Loam","26","3","SGDW 8","4.0"
"20","2","200","10 YR","Silty Clay","103","4","SGDW 8","5.0"
"22","1","85","10 YR","Silty Clay","0","2","SGDW 9","3.0"
"23","2","145","10 YR","Clay Loam","85","4","SGDW 9","4.0"
"24","3","200","7.5 YR","Sandy Clay","145","8","SGDW 9","5.0"
"25","1","105","10 YR","Silty Clay Loam","0","2","SGDW 10","3.0"
"26","2","210","10 YR","Silty Clay","105","6","SGDW 10","4.0"
"27","1","195","10 YR","Silty Clay","0","2","SGDW 11","4.0"
"139","1","9999999","7.5 YR","Silty Clay Loam","9999999","1","ND 9","2.5"
"140","1","9999999","10 YR","Loam","9999999","2","ND 12","3.0"
"141","1","9999999","10 YR","Silty Clay Loam","9999999","2","ND 13","3.0"
"142","1","9999999","10 YR","Silty Loam","9999999","1","ND 14","3.0"
"143","1","9999999","10 YR","Silty Clay Loam","9999999","2","ND 18","4.0"
"145","1","9999999","10 YR","Loam","9999999","2","ND 22","2.0"
"146","1","9999999","7.5 YR","Silty Loam","9999999","1","ND 23","2.5"
"147","1","9999999","10 YR","Silty Clay Loam","9999999","2","ND 24","3.0"
"149","1","9999999","10 YR","Sandy Clay Loam","9999999","2","ND 28","3.0"
"150","1","9999999","10 YR","Sandy Clay Loam","9999999","2","ND 30","3.0"
"151","1","9999999","10 YR","Sandy Loam","9999999","2","ND 34","3.0"
"152","1","9999999","10 YR","Sandy Clay Loam","9999999","2","ND 37","3.0"
"153","1","9999999","10 YR","Silty Clay Loam","9999999","2","ND 38","3.0"
"154","1","9999999","10 YR","Sandy Loam","9999999","1","FRIENDS 5","4.0"
"155","1","9999999","10 YR","9999999","9999999","1","FRIENDS 10","3.0"
"156","1","9999999","10 YR","Silty Loam","9999999","2","FRIENDS 11","3.0"
"157","1","9999999","10 YR","Clay Loam","9999999","2","FRIENDS 12","4.0"
"158","1","9999999","10 YR","Clay Loam","9999999","3","FRIENDS 13","3.0"
"159","1","9999999","10 YR","Sandy Clay Loam","9999999","4","FRIENDS 14","3.0"
"160","1","9999999","10 YR","Clay Loam","9999999","2","FRIENDS 15","3.0"
"161","1","9999999","10 YR","Silty Loam","9999999","5","FRIENDS 16","3.0"
"162","1","9999999","10 YR","Silty Loam","9999999","3","FRIENDS 17","3.5"
"163","1","9999999","10 YR","Clay Loam","9999999","3","JHU 6","3.0"
"164","1","9999999","10 YR","Sand","9999999","4","JHU 9","4.0"
"165","1","9999999","10 YR","Silty Clay Loam","9999999","2","JHU 11","2.0"
"166","1","9999999","10 YR","Sandy Clay","9999999","2","JHU 12","2.0"
"167","1","9999999","10 YR","Sandy Loam","9999999","2","JHU 13","2.0"
"168","1","9999999","7.5 YR","Clay Loam","9999999","2","JHU 19","2.5"
"169","1","9999999","2.5 YR","Silty Loam","9999999","1","JHU 23","2.5"
"170","1","9999999","7.5 YR","Silty Clay","9999999","2","JHU 24","2.5"
"171","1","9999999","10 YR","Loam","9999999","1","JHU 29","3.0"
"172","1","9999999","7.5 YR","Silty Clay Loam","9999999","3","JHU 32","3.0"
"173","1","9999999","10 YR","Silty Clay Loam","9999999","2","JHU 38","3.0"
"174","1","9999999","10 YR","Silty Clay Loam","9999999","3","JHU 41","3.0"
"175","1","9999999","10 YR","Silty Clay Loam","9999999","1","JHU 45","3.0"
"176","1","9999999","10 YR","Clay Loam","9999999","2","JHU 46","3.0"
"177","1","9999999","10 YR","Silty Clay Loam","9999999","3","JHU 50","4.0"
"178","1","9999999","10 YR","Sandy Loam","9999999","2","JHU 53","3.0"
"179","1","9999999","10 YR","Sandy Clay Loam","9999999","2","JHU 56","3.0"
"180","1","9999999","10 YR","Sandy Clay Loam","9999999","2","JHU 60","3.0"
"181","1","9999999","10 YR","Silt Loam","9999999","2","JHU 62","3.0"
"182","1","9999999","7.5 YR","Silty Clay Loam","9999999","2","JHU 26","2.5"
"183","1","9999999","10 YR","Silty Clay Loam","9999999","2","RPCS 1","3.0"
"184","1","9999999","10 YR","Silty Loam","9999999","2","RPCS 6","3.0"
"185","1","9999999","10 YR","Silty Loam","9999999","1","RPCS 9","2.0"
"186","1","9999999","10 YR","Silty Loam","9999999","2","RPCS 13","3.0"
"187","1","9999999","10 YR","Silty Clay","9999999","2","RPCS 17","2.0"
"188","1","9999999","10 YR","Silty Loam","9999999","2","RPCS 20","2.0"
"189","1","9999999","10 YR","Sandy Loam","9999999","2","RPCS 23","3.0"
"190","1","9999999","7.5 YR","Silty Clay Loam","9999999","1","GILMAN 1","2.5"
"191","1","9999999","10 YR","Sandy Loam","9999999","1","GILMAN 2","2.0"
"192","1","9999999","10 YR","Sandy Loam","9999999","1","GILMAN 3","3.0"
"193","1","9999999","10 YR","Silty Loam","9999999","1","GILMAN 4","2.0"
"194","1","9999999","10 YR","9999999","9999999","1","GILMAN 5","1.0"
"195","1","9999999","9999999","9999999","9999999","9999999","GILMAN 6","9999999.0"
"196","1","9999999","10 YR","Silty Loam","9999999","1","GILMAN 7","3.0"
"197","1","9999999","10 YR","Loam","9999999","1","GILMAN 8","2.0"
"198","1","9999999","10 YR","Sandy Loam","9999999","2","GILMAN 9","3.0"
"199","1","9999999","7.5 YR","Sandy Loam","9999999","3","GILMAN 10","2.5"
"200","1","9999999","9999999","9999999","9999999","9999999","GILMAN 13","9999999.0"
"201","1","9999999","9999999","9999999","9999999","9999999","GILMAN 15","9999999.0"
"202","1","9999999","10 YR","Clay Loam","9999999","2","GILMAN 18","3.0"
"203","1","9999999","10 YR","Silty Clay Loam","9999999","1","GILMAN 19","3.0"
"204","1","9999999","10 YR","Clay Loam","9999999","2","GILMAN 21","3.0"
"205","1","9999999","5 YR","Sandy Loam","9999999","1","GILMAN 22","2.5"
"206","1","9999999","7.5 YR","Sandy Loam","9999999","1","GILMAN 23","2.5"
"207","1","9999999","10 YR","Silty Clay Loam","9999999","3","LOYOLA 4","3.0"
"208","1","9999999","10 YR","Silty Clay Loam","9999999","2","LOYOLA 8","3.0"
"209","1","9999999","10 YR","Loam","9999999","2","LOYOLA 10","2.0"
"210","1","9999999","7.5 YR","Silty Clay Loam","9999999","3","LOYOLA 12","3.0"
"211","1","9999999","10 YR","Sandy Loam","9999999","2","LOYOLA 16","3.0"
"212","1","9999999","10 YR","Clay Loam","9999999","2","LOYOLA 18","4.0"
"213","1","9999999","10 YR","Sandy Loam","9999999","2","LOYOLA 22","3.0"
"214","1","9999999","10 YR","Clay Loam","9999999","2","LOYOLA 24","3.0"
"215","1","9999999","10 YR","Clay Loam","9999999","2","LOYOLA 26","3.0"
"216","1","9999999","10 YR","Sand","9999999","1","LOYOLA 34","2.0"
"217","1","9999999","7.5 YR","Silty Clay Loam","9999999","3","LOYOLA 36","2.5"
"218","1","9999999","10 YR","Silty Loam","9999999","3","LOYOLA 52","3.0"
"219","1","9999999","7.5 YR","Silty Clay Loam","9999999","2","LOYOLA 56","3.0"
"220","1","9999999","10 YR","Silty Loam","9999999","1","LOYOLA 58","2.0"
