470,8,QUAL,0,HEPP 10,0
471,9,QURU,0,HEPP 10,0
472,10,QUCO2,0,HEPP 10,0
473,11,QUCO2,3,HEPP 10,0
474,1,QUAL,2,HEPP 11,0
475,2,QUAL,0,HEPP 11,0
476,3,QUAL,0,HEPP 11,0
477,4,QUVE,0,HEPP 11,0
478,5,QUVE,0,HEPP 11,0
479,6,QUVE,0,HEPP 11,0
480,7,QUVE,1,HEPP 11,0
481,8,QUCO2,0,HEPP 11,0
482,1,NYSY,0,HEPP 12,0
483,2,NYSY,0,HEPP 12,0
484,3,NYSY,0,HEPP 12,0
485,4,NYSY,0,HEPP 12,0
486,5,QUVE,0,HEPP 12,0
487,6,QUVE,0,HEPP 12,0
488,7,QUVE,0,HEPP 12,0
489,8,QURU,0,HEPP 12,0
490,9,Dead,0,HEPP 12,0
491,10,Dead,0,HEPP 12,0
492,11,QUCO2,0,HEPP 12,0
493,12,QUAL,0,HEPP 12,0
494,1,QURU,1,HEPP 13,0
495,2,QURU,0,HEPP 13,0
496,3,QUAL,0,HEPP 13,0
497,4,QUAL,0,HEPP 13,0
498,5,QUAL,0,HEPP 13,0
499,6,QUAL,0,HEPP 13,0
500,7,QUAL,0,HEPP 13,0
501,8,QUAL,1,HEPP 13,0
502,9,QUAL,0,HEPP 13,0
503,10,QUCO2,0,HEPP 13,0
504,1,MAPO,4,G 1,1
505,2,MAPO,2,G 1,0
506,3,JUNI,5,G 1,0
507,4,ULAM,1,G 1,0
508,5,ULAM,1,G 1,0
509,6,MORU2,4,G 1,1
510,7,MORU2,5,G 1,1
511,8,MORU2,5,G 1,1
512,1,ROPS,0,G 2,0
513,2,ROPS,3,G 2,1
514,3,ROPS,3,G 2,1
515,4,MAAC,0,G 2,0
516,5,ULAM,1,G 2,0
517,6,ULAM,0,G 2,0
518,7,PRSE2,0,G 2,0
519,8,Dead,0,G 2,0
520,1,FRAM2,0,G 3,0
521,2,FRAM2,0,G 3,0
522,3,FRAM2,0,G 3,0
523,4,FRAM2,0,G 3,0
524,5,FRAM2,3,G 3,1
525,6,JUNI,0,G 3,0
526,7,JUNI,0,G 3,0
527,8,JUNI,0,G 3,0
528,9,JUNI,0,G 3,0
529,10,ULAM,0,G 3,0
530,11,ACPL,3,G 3,0
531,12,MORU2,0,G 3,0
532,13,PRSE2,0,G 3,0
533,1,ULRU,3,AH 1,0
534,2,FRPE,4,AH 1,0
535,3,Dead,5,AH 1,0
536,4,CAGL8,1,AH 1,0
537,5,CAGL8,2,AH 1,0
538,6,CAGL8,2,AH 1,0
539,7,PRSE2,4,AH 1,0
540,8,QURU,2,AH 1,0
541,9,LITU,0,AH 1,0
542,10,LITU,0,AH 1,0
543,11,JUNI,5,AH 1,0
544,12,NYSY,0,AH 1,0
545,13,FAGR,0,AH 1,0
546,1,ACRU,0,AH 10,0
547,2,ACRU,0,AH 10,0
548,3,VIPR,0,AH 10,0
549,4,QUPA2,0,AH 10,0
550,5,QUPA2,0,AH 10,0
551,6,QUPA2,0,AH 10,0
552,7,LITU,0,AH 10,0
553,8,LITU,3,AH 10,0
554,9,LITU,4,AH 10,0
555,10,LITU,4,AH 10,0
556,11,ROPS,3,AH 10,0
557,12,FRPE,3,AH 10,0
558,13,PRSE2,0,AH 10,0
559,1,ROPS,3,AH 11,0
560,2,ROPS,4,AH 11,0
561,3,ROPS,4,AH 11,0
562,4,ROPS,4,AH 11,0
563,5,FRPE,0,AH 11,0
564,6,FRPE,4,AH 11,0
565,7,ACSA2,3,AH 11,0
566,8,ACSA2,5,AH 11,0
