"177","LOJA","2","JH 14",
"178","DUIN2","3","JH 14",
"179","CEOR7","5","JH 14",
"180","LIBE3","12","JH 14",
"181","VIMI2","90","JH 15",
"182","TORA2","2","JH 15",
"183","LOMA6","6","JH 15",
"184","HEMER","2","JH 15",
"185","PAQU2","10","W 1",
"186","VIRI","10","W 1",
"187","TORA2","15","W 1",
"188","LOJA","5","W 1",
"189","HEHE","20","W 1",
"190","WISI","50","W 2",
"191","SMILA2","20","W 2",
"192","HEHE","5","W 2",
"193","HEHE","60","W 3",
"194","ROMU","10","W 3",
"195","LOJA","5","W 3",
"196","TORA2","40","W 4",
"197","HEHE","20","W 4",
"198","SMILA2","10","W 4",
"199","LOJA","5","W 4",
"200","LITU","30","HEPP 7",
"201","QUAL","5","HEPP 7",
"202","ACRU","1","HEPP 7",
"203","PRSE2","2","HEPP 7",
"204","SMILA2","1","HEPP 7","yes"
"205","RUPE3","2","HEPP 7",
"206","FAGR","2","HEPP 3",
"207","PRSE2","1","HEPP 3","yes"
"208","SMILA2","20","HEPP 4",
"209","ACRU","4","HEPP 4",
"210","PRSE2","1","HEPP 4","yes"
"211","CALU5","1","HEPP 4","yes"
"212","SMILA2","10","HEPP 5",
"213","VIDE","20","HEPP 5",
"214","PRSE2","1","HEPP 6",
"215","ACRU","1","HEPP 8","yes"
"216","SMILA2","50","HEPP 9",
"217","ACRU","10","HEPP 9",
"218","PRSE2","1","HEPP 9",
"219","Moss","12","HEPP 9",
"220","AMARA5","2","HEPP 9",
"221","RUPE3","35","HEPP 10",
"222","SMILA2","25","HEPP 10",
"223","PRSE2","2","HEPP 10",
"224","NYSY","3","HEPP 10",
"225","ANVI2","3","HEPP 11",
"226","CALU5","42","HEPP 11",
"227","LOJA","3","HEPP 11",
"228","PRSE2","1","HEPP 11",
"229","VIDE","1","HEPP 11","yes"
"230","AMARA5","1","HEPP 11","yes"
"231","RUPE3","5","HEPP 12",
"232","MIVI","5","HEPP 12",
"233","PRSE2","5","HEPP 12",
"234","ACRU","10","HEPP 12",
"235","SMILA2","1","HEPP 12","yes"
"236","Carex sp.","1","HEPP 12","yes"
"237","NYSY","1","HEPP 13",
"238","LOJA","10","G 1",
"239","HEHE","15","G 1",
"240","PAQU2","5","G 1",
"241","VIRI","15","G 1",
"242","ALPE4","24","G 1",
"243","ALLIU","1","G 1",
"244","ROMU","5","G 1",
"245","VIRI","40","G 2",
"246","HEHE","15","G 2",
"247","PRSE2","1","G 2",
"248","HISY","4","G 2",
"249","ERAN","35","G 3",
"250","RUPH","5","G 3",
"251","HEHE","5","G 3",
"252","OXALI","2","G 3",
"253","ANVI2","3","G 3",
"254","RUAL","1","JHU 23",
"255","ROMU","1","JHU 24",
"256","CEOR7","1","JHU 25",
"257","HEHE","1","JHU 3",
"258","POLYG2","1","JHU 30",
"259","LITU","1","JHU 39",
"260","CEOR7","1","JHU 49",
"261","CEOR7","1","JHU 55",
"262","TORA2","1","JHU 55",
"263","LONIC","1","JHU 56",
"264","VISO","2","JHU 12",
"265","VISO","2","JHU 21",
"266","CHAEN6","2","JHU 22",
"267","PAQU2","2","JHU 28",
"268","AGALA","2","JHU 29",
"269","HEHE","2","JHU 32",
"270","HEHE","2","JHU 38",
"271","SASSA","2","JHU 42",
"272","TORA2","2","JHU 48",
"273","GECA7","2","JHU 50",
"274","AMBR7","2","JHU 53",
"275","CEOR7","2","JHU 53",
"276","PAQU2","2","JHU 55",
"277","Unidentified","2","JHU 61",
"278","PLMA2","3","JHU 14",
"279","EUFOR2","3","JHU 16",
"280","FRAXI","3","JHU 19",
"281","CECA4","3","JHU 19",
"282","HEHE","3","JHU 20",
"283","HEHE","3","JHU 23",
"284","ROPS","3","JHU 24",
"285","VIAC","3","JHU 26",
"286","LONIC","3","JHU 28",
"287","CEOR7","3","JHU 28",
"288","AGALA","3","JHU 42",
"289","BAMBU","3","JHU 45",
"290","AMBR7","3","JHU 55",
"291","VITIS","3","JHU 56",
"292","CEOR7","3","JHU 57",
"293","CEOR7","4","JHU 27",
"294","POCU6","4","JHU 39",
"295","LONIC","4","JHU 48",
"296","PLMA2","5","JHU 12",
"297","TORA2","5","JHU 16",
"298","Moss","5","JHU 18",
"299","ALPE4","5","JHU 19",
"300","CLTE4","5","JHU 23",
"301","LONIC","5","JHU 24",
"302","FRPE","5","JHU 24",
"303","TORA2","5","JHU 29",
"304","CEOR7","5","JHU 29",
"305","CEOR7","5","JHU 35",
"306","HEHE","5","JHU 36",
"307","SOAL6","5","JHU 40",
"308","CEOR7","5","JHU 45",
"309","Moss","5","JHU 48",
"310","LONIC","5","JHU 49",
"311","CLTE4","5","JHU 50",
"312","PRSE2","5","JHU 53",
"313","POVI2","5","JHU 54",
"314","LOMA6","5","JHU 55",
"315","Unidentified Herb","5","JHU 60",
"316","HEHE","6","JHU 19",
"317","VIAC","6","JHU 27",
"318","BRPA4","6","JHU 64",
"319","EUFOR2","7","JHU 2",
"320","PAQU2","7","JHU 49",
"321","POCU6","8","JHU 19",
"322","VAAN","8","JHU 23",
"323","HEHE","8","JHU 26",
"324","CLTE4","10","JHU 18",
"325","AMBR7","10","JHU 2",
"326","POCU6","10","JHU 21",
"327","TORA2","10","JHU 28",
"328","HEHE","10","JHU 30",
"329","AMBR7","10","JHU 47",
"330","LONIC","10","JHU 47",
"331","POVI2","10","JHU 48",
"332","LONIC","10","JHU 50",
"333","RUALA","10","JHU 56",
"334","AMBR7","12","JHU 49",
"335","ROMU","15","JHU 54",
"336","FRPE","15","JHU 54",
"337","HEHE","15","JHU 9",
"338","FAGR","17","JHU 48",
"339","Unidentified Herb","18","JHU 12",
"340","CEOR7","18","JHU 36",
"341","ULRU","20","JHU 10",
"342","VAAN","20","JHU 27",
"343","AMBR7","20","JHU 38",
"344","CEOR7","20","JHU 38",
"345","SOAL6","20","JHU 39",
"346","AIAL","20","JHU 4",
"347","HEHE","20","JHU 41",
"348","VIAC","20","JHU 42",
"349","COFL2","20","JHU 47",
"350","WISTE","20","JHU 48",
"351","HEHE","20","JHU 49",
"352","FRPE","20","JHU 53",
"353","RUPH","20","JHU 54",
"354","LONIC","20","JHU 64",
"355","Grass","20","JHU 64",
"356","AMBR7","20","JHU 7",
"357","TORA2","25","JHU 23",
"358","AMBR7","25","JHU 50",
"359","HEHE","25","JHU 50",
"360","ROMU","25","JHU 8",
"361","IMCA","28","JHU 2",
"362","HEHE","30","JHU 16",
"363","AMBR7","30","JHU 21",
"364","HEHE","30","JHU 24",
"365","FAGR","30","JHU 30",
"366","VIBUR","30","JHU 36",
"367","DAUCU","31","JHU 7",
"368","ROMU","33","JHU 50",
"369","LONIC","35","JHU 16",
"370","LONIC","35","JHU 36",
"371","LONIC","35","JHU 39",
"372","HEHE","35","JHU 53",
"373","HEHE","40","JHU 22",
"374","Unidentified Herb","40","JHU 39",
"375","CEOR7","40","JHU 44",
"376","POCU6","40","JHU 7",
"377","ACNE2","40","JHU 8",
"378","HEHE","45","JHU 13",
"379","PHAM4","45","JHU 21",
"380","TORA2","45","JHU 54",
"381","VIAC","45","JHU 60",
"382","HEHE","45","JHU 62",
"383","POCU6","45","JHU 64",
"384","FAGR","45","JHU 9",
"385","HEHE","50","JHU 28",
"386","FAGR","50","JHU 29",
"387","HEHE","50","JHU 33",
"388","HEHE","50","JHU 35",
"389","LONIC","50","JHU 41",
"390","HEHE","53","JHU 44",
"391","HEHE","55","JHU 2",
"392","HEHE","60","JHU 45",
"393","POCU6","60","JHU 46",
"394","WISTE","60","JHU 47",
"395","HEHE","60","JHU 52",
"396","HEHE","70","JHU 56",
"397","GLHE2","75","JHU 12",
"398","HEHE","75","JHU 55",
"399","AMBR7","80","JHU 10",
"400","Unidentified Herb","80","JHU 14",
"401","AMBR7","80","JHU 18",
"402","AMBR7","80","JHU 4",
"403","VITIS","90","JHU 57",
"404","HEHE","93","JHU 6",
"405","PHILA","95","JHU 20",
"406","EUFOR2","95","JHU 3",
"407","POCU6","95","JHU 40",
"408","POCU6","98","JHU 11",
"409","AMBR7","100","JHU 1",
"410","**LARGE PILE OF PLANT DEBRIS**","100","JHU 31",
"411","AMBR7","100","JHU 5",
"412","LITU","1","JHU 17","yes"
"413","VIDI80","1","JHU 20","yes"
"414","TORA2","1","JHU 20","yes"
"415","TORA2","1","JHU 22","yes"
"416","LONIC","1","JHU 22","yes"
"417","CARPI","1","JHU 22","yes"
"418","PRSE2","1","JHU 23","yes"
"419","Unidentified Herb","1","JHU 25","yes"
"420","QUERC","1","JHU 26","yes"
"421","HEHE","1","JHU 27","yes"
"422","PRSE2","1","JHU 27","yes"
"423","PRSE2","1","JHU 32","yes"
"424","AMBR7","1","JHU 35","yes"
"425","PRAV","1","JHU 41","yes"
"426","COAR4","1","JHU 42","yes"
"427","ACRU","1","JHU 42","yes"
"428","PRSE2","1","JHU 42","yes"
"429","ACPL","1","JHU 44","yes"
"430","ALPE4","1","JHU 46","yes"
"431","PRSE2","1","JHU 51","yes"
"432","ULRU","1","JHU 53","yes"
"433","LITU","1","JHU 58","yes"
"434","AMBR7","1","JHU 63","yes"
"435","ROMU","1","AH 10",
"436","ARTR","1","AH 10",
"437","CILU","1","AH 11",
"438","SMILA2 ","1","AH 11",
"439","SMILA2","1","AH 12",
"440","HEHE","1","AH 12",
"441","PAQU2","1","AH 12",
"442","GECA7","1","AH 13",
"443","ALPE4","1","AH 15",
"444","ROMU","1","AH 15",
"445","HEHE","1","AH 15",
"446","SMILA2","1","AH 16",
"447","LOJA","1","AH 2",
"448","COFL2","1","AH 2",
"449","RUBUS","1","AH 3",
"450","HEHE","1","AH 3",
"451","RUBUS","1","AH 4",
"452","PRSE2","1","AH 4",
"453","HEHE","1","AH 5",
"454","SMILA2","1","AH 6",
"455","FRPE","1","AH 9",
"456","AMBR7","1","AH 9",
"457","VIPR","2","AH 1",
"458","PAQU2","2","AH 1",
"459","TORA2","2","AH 11",
"460","LOJA","2","AH 11",
"461","AIAL","2","AH 14",
"462","GECA7","2","AH 15",
"463","LOJA","2","AH 15",
"464","ARTR","2","AH 16",
"465","LIBE3","2","AH 3",
"466","TORA2","2","AH 3",
"467","LIBE3","2","AH 5",
"468","FRPE","2","AH 6",
"469","Grass","2","AH 7",
"470","FRPE","2","AH 7",
"471","ROMU","2","AH 9",
"472","LIBE3","2","AH 9",
"473","LOJA","3","AH 10",
"474","PAQU2","3","AH 10",
"475","HEHE","3","AH 10",
"476","RUBUS","3","AH 13",
"477","FRPE","3","AH 14",
"478","CEOR7","3","AH 15",
"479","AMBR7","3","AH 16",
"480","EUAM9","3","AH 4",
"481","LOJA","3","AH 5",
"482","ARTR","3","AH 6",
"483","LOJA","3","AH 7",
"484","GECA7","3","AH 7",
"485","PAQU2","3","AH 8",
"486","LOJA","4","AH 1",
"487","CEOR7","4","AH 1",
"488","HEHE","4","AH 1",
"489","FRPE","4","AH 10",
"490","GECA7","4","AH 11",
"491","FRPE","4","AH 2",
"492","FRPE","4","AH 3",
"493","PAQU2","4","AH 3",
"494","LOJA","4","AH 3",
"495","PAQU2","4","AH 6",
"496","ROMU","4","AH 8",
"497","LIOB","4","AH 9",
"498","CEOR7","5","AH 12",
"499","HEHE","5","AH 16",
"500","FRPE","5","AH 17",
"501","LOJA","5","AH 4",
"502","CEOR7","5","AH 4",
"503","LOJA","6","AH 16",
"504","FRPE","6","AH 8",
"505","ARTR","6","AH 9",
"506","RUBUS","7","AH 5",
"507","CEOR7","8","AH 2",
"508","CEOR7","8","AH 3",
"509","SMILA2","12","AH 3",
"510","CEOR7","15","AH 13",
"511","FRAGA","15","AH 14",
"512","LIBE3","15","AH 16",
"513","CEOR7","15","AH 5",
"514","POPE10","25","AH 14",
"515","FRPE","30","AH 4",
