"212","3","0","SW 4"
"213","4","0","SW 4"
"214","5","25","SW 4"
"215","1","150","SW 5"
"216","2","150","SW 5"
"217","3","100","SW 5"
"218","4","100","SW 5"
"219","5","100","SW 5"
"220","1","200","SW 6"
"221","2","50","SW 6"
"222","3","100","SW 6"
"223","4","100","SW 6"
"224","5","100","SW 6"
"225","1","50","SW 8"
"226","2","50","SW 8"
"227","3","25","SW 8"
"228","4","50","SW 8"
"229","5","25","SW 8"
"230","1","100","SW 9"
"231","2","150","SW 9"
"232","3","150","SW 9"
"233","4","100","SW 9"
"234","5","100","SW 9"
"235","1","200","SW 10"
"236","2","250","SW 10"
"237","3","250","SW 10"
"238","4","200","SW 10"
"239","5","200","SW 10"
"240","1","300","SW 11"
"241","2","300","SW 11"
"242","3","300","SW 11"
"243","4","300","SW 11"
"244","5","300","SW 11"
"245","1","150","SW 12"
"246","2","200","SW 12"
"247","3","100","SW 12"
"248","4","150","SW 12"
"249","5","150","SW 12"
"250","1","100","SW 13"
"251","2","25","SW 13"
"252","3","25","SW 13"
"253","4","100","SW 13"
"254","5","25","SW 13"
"255","1","300","AH 1"
"256","2","300","AH 1"
"257","3","325","AH 1"
"258","4","250","AH 1"
"259","5","300","AH 1"
"260","1","200","AH 12"
"261","2","150","AH 12"
"262","3","150","AH 12"
"263","4","200","AH 12"
"264","5","225","AH 12"
"265","1","90","AH 14"
"266","2","90","AH 14"
"267","3","125","AH 14"
"268","4","150","AH 14"
"269","5","125","AH 14"
"270","1","350","AH 4"
"271","2","350","AH 4"
"272","3","300","AH 4"
"273","4","375","AH 4"
"274","5","375","AH 4"
"275","1","100","AH 7"
"276","2","140","AH 7"
"277","3","100","AH 7"
"278","4","150","AH 7"
"279","5","120","AH 7"
"280","1","310","AH 8"
"281","2","310","AH 8"
"282","3","320","AH 8"
"283","4","275","AH 8"
"284","5","290","AH 8"
"285","1","275","GS 10"
"286","2","225","GS 10"
"287","3","210","GS 10"
"288","4","250","GS 10"
"289","5","235","GS 10"
"290","1","275","GS 18"
"291","2","300","GS 18"
"292","3","300","GS 18"
"293","4","325","GS 18"
"294","5","350","GS 18"
"295","1","200","GS 2"
"296","2","200","GS 2"
"297","3","225","GS 2"
"298","4","200","GS 2"
"299","5","225","GS 2"
"300","1","35","GS 21"
"301","2","35","GS 21"
"302","3","90","GS 21"
"303","4","100","GS 21"
"304","5","90","GS 21"
"305","1","350","GS 26"
"306","2","350","GS 26"
"307","3","310","GS 26"
"308","4","350","GS 26"
"309","5","350","GS 26"
"310","1","130","GS 28"
"311","2","100","GS 28"
"312","3","140","GS 28"
"313","4","120","GS 28"
"314","5","110","GS 28"
"315","1","250","GS 31"
"316","2","275","GS 31"
"317","3","200","GS 31"
"318","4","310","GS 31"
"319","5","250","GS 31"
"320","1","200","GS 5"
"321","2","200","GS 5"
"322","3","240","GS 5"
"323","4","190","GS 5"
"324","5","240","GS 5"
"325","1","375","GS 8"
"326","2","400","GS 8"
"327","3","375","GS 8"
"328","4","375","GS 8"
"329","5","390","GS 8"
"330","1","100","HR 1"
"331","2","110","HR 1"
"332","3","150","HR 1"
"333","4","125","HR 1"
"334","5","120","HR 1"
"335","1","100","HR 10"
"336","2","75","HR 10"
"337","3","100","HR 10"
"338","4","190","HR 10"
"339","5","100","HR 10"
"340","1","90","HR 11"
"341","2","90","HR 11"
"342","3","100","HR 11"
"343","4","100","HR 11"
"344","5","100","HR 11"
"345","1","100","HR 14"
"346","2","100","HR 14"
"347","3","100","HR 14"
"348","4","100","HR 14"
"349","5","90","HR 14"
"350","1","125","HR 15"
"351","2","140","HR 15"
